sexe;preusuel;annais;nombre
2;AWA;1963;5
1;LUCKA;XXXX;4
2;DIVINE;1999;27
2;YANAELLE;2010;9
2;WAFAA;2002;10
2;EMILY;1921;3
2;CASIMIR;1913;6
1;JEAN-ANTOINE;2006;9
2;RABHA;1961;7
1;MALICK;1989;21
2;EMERANCE;1909;9
1;DUY;1983;7
2;FULBERTE;1965;3
1;PIERRE-DAMIEN;2001;3
1;CYRILLE;1957;139
1;PAKO;2016;5
2;LAURALEEN;2013;3
1;ZIYED;2012;15
2;YONNA;2002;10
2;CLARISSA;2006;19
1;NATTAN;2007;42
2;MARIE-ANGE;2019;8
1;SAHIL;2019;17
2;MAIMOUNA;1996;38
1;VISHWA;XXXX;14
1;YAKIM;2011;3
1;KHALIFA;1990;4
1;YAVUZ-SELIM;2018;3
2;FELICITE;1921;85
1;PHILOGONE;1912;4
1;SOUHEIL;2003;20
2;HODA;1985;5
2;SELIHA;XXXX;19
2;ALISSIA;1992;12
2;CHADIA;1991;11
2;CINTHIA;2002;11
2;NOELLA;1938;73
1;DUSAN;1974;3
1;KENNETH;1991;4
2;BRUNE;1998;24
2;VÉRONIQUE;2008;6
1;RUSLAN;2007;5
2;MARCELINE;1940;77
2;AYA;1976;4
1;BANDJOUGOU;2006;3
1;VICENTE;1982;3
2;ANNIKA;2014;4
1;GIANFRANCO;1965;3
1;PHILIPPO;XXXX;25
1;BENI;2007;13
1;ABDULLAH;1991;26
2;STAICY;2008;4
2;SÉLIA;2019;5
1;ARWEN;2010;8
1;LACINA;1989;3
2;WIAME;2004;13
2;SKY;XXXX;11
1;DESTAN;2010;3
1;VIANNEY;XXXX;20
1;MOULOUD;1979;25
1;JEAN-PASCAL;1959;206
1;MAYANN;2006;9
1;AVEDIS;1929;4
2;LYSE-MARIE;XXXX;43
2;ANNA-LOUISE;2019;4
2;ILDA;1964;5
1;JORDANE;1990;208
2;SAVANNA;2006;3
2;FIROUZE;1976;3
2;ERMINE;2012;3
2;MAUD;2009;226
2;MICHELLE;1997;52
2;MÉLIA;2011;79
1;GINO;2005;80
2;LOUIS;1930;4
2;TIFENN;1996;54
2;MARIE-GABRIELLE;1929;5
2;MAHÉ;2016;46
1;SIMON;1903;209
1;MARTINO;1960;4
2;MOUNYA;2006;3
1;NEVEN;2004;15
1;DENIS;1922;446
1;NAREK;2004;5
2;MÉLODIE;1993;87
1;TYLER;2008;68
2;ADJARATOU;2020;6
1;ISIDORE;1963;15
1;JAHYANN;2012;23
2;ORIA;2010;6
1;IBRÂHÎM;2013;3
2;MYRIANA;2012;3
1;YOUNÈS;1983;9
2;SERAPHINE;2011;8
1;ILIDIO;1969;3
2;FREYJA;2020;36
2;VALÉRIE;1998;116
2;SANJA;1985;5
1;AISSA;1958;30
1;MUAZ;2019;9
1;YANNIC;1962;14
1;MINH;1972;7
2;ANNA-LOUISE;2020;4
1;HÉNOC;2010;3
1;MALVYN;2007;6
2;KAOUTAR;2008;27
1;ABDEL-HALIM;1987;5
1;ADLEN;1994;3
2;BERTILE;1928;3
1;YANNE;1977;4
2;LETITIA;1979;28
2;EDOUARD;1938;7
2;PEGGY;1977;2001
1;ANICET;1989;8
2;NAOUMI;2006;4
2;FLAVIA;1970;3
2;EIREEN;2015;3
2;SYDNEY;1997;21
2;MARIE-VÉRONIQUE;1958;27
